Using brute force collision detection.
         33958108 function calls (33954601 primitive calls) in 51.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      319    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      898    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 socket.py:70(<dictcomp>)
      446    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       93    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
        1    0.000    0.000    0.000    0.000 socket.py:75(<dictcomp>)
       14    0.000    0.000    0.000    0.000 pkg_resources.py:1856(find_distributions)
      208    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
       30    0.000    0.000    0.000    0.000 enum.py:282(__setattr__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:964(_register_types)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
       58    0.000    0.000    0.000    0.000 {built-in method compile}
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:732(__enter__)
        4    0.000    0.000    0.000    0.000 {built-in method open}
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
      698    0.000    0.000    0.000    0.000 {built-in method chr}
       27    0.000    0.000    0.000    0.000 core.py:829(__init__)
       52    0.000    0.000    0.000    0.000 __init__.py:362(<genexpr>)
      159    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
       93    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
      228    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
      373    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
      420    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 pkg_resources.py:226(get_provider)
        1    0.000    0.000    0.000    0.000 datetime.py:1808(timezone)
      403    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      467    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2581(MaskedArray)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(__init__)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
       89    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7285(__init__)
      531    0.000    0.000    0.000    0.000 __init__.py:83(__iter__)
       76    0.000    0.000    0.000    0.000 {built-in method next}
      116    0.000    0.000    0.000    0.000 _collections_abc.py:481(__iter__)
        1    0.000    0.000    0.000    0.000 enum.py:434(Enum)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:419(WorkingSet)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1480(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
